Type,Domain,Prefix,sbr-nl,local,xbrl
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-271,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b7,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-100,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b10,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b18,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-615,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-420,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b17,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-345,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-220,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-a4,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-115,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-390,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-920,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-150,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-650,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-222,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-292,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-224,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-600,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-630,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-330,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b11,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-122,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-190,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b5,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-400,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-221,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-d3,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-290,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-c2,False,True,False
